id,title,category,domain,module,page,url,role,severity,priority,riskScore,likelihood,techImpact,bizImpact,userImpact,status,description,expectedBehavior,actualBehavior,reproduction,recommendation,workaround,suggestedOwner,estimatedEffort,targetSprint
"PRIV-005","Password-reset token and user email written to server logs (account-takeover via log access)","privacy-pdpl","PRIV","apps/web (auth API)","POST /api/auth/request-reset","/api/auth/request-reset","unauthenticated","High","High","15","3","4","4","5","confirmed","The request-reset handler logs the full reset URL (which embeds the raw single-use reset token) together with the user's email via console.info. Server logs are typically retained and broadly readable (Vercel log drains, observability tools). Anyone with log access can read the token within its 1-hour TTL and complete an account takeover; the email is also PII exposed in logs. The DB correctly stores only the token hash, so the log is the weak link.","Reset links must be delivered only to the user's mailbox and never logged; at most log a non-sensitive event id.","console.info(""[auth] password reset link generated for"", email, resetUrl) logs email + raw token.","Call POST /api/auth/request-reset with a registered email; inspect server logs for the reset URL containing token and email.","Wire the email delivery (TODO(email)) and remove the console.info entirely, or gate it behind NODE_ENV !== 'production' with the token redacted. Never log tokens or email.","Immediately restrict log access and set short log retention until fixed.","Backend/Auth","S","current"
"RBAC-002","Unauthenticated proxy to Qiwa government API via /api/qiwa (re-opens SEC-009 through a REST twin)","Vertical escalation / Broken access control","RBAC","REST route (custom)","/qiwa","/api/qiwa","anonymous (no session required)","High","P1","15","3","5","5","4","confirmed","The custom route /api/qiwa (POST/PUT/GET) authenticates to the Qiwa government platform with the server's QIWA_CLIENT_ID/SECRET and forwards the caller's raw JSON body to POST/PUT/GET https://api.qiwa.sa/api/v2/employees. It performs NO session check, NO role check and NO tenant resolution. The tRPC twin qiwa.sync was correctly re-gated to requireRole(super_admin, hr_manager, payroll_admin) under SEC-009, but this REST endpoint is a wide-open parallel door to the same government actions (create / update / query employee records). It is also absent from the middleware matcher, so no rate-limit applies.","Any government-filing/integration action must require an authenticated session with integrations/payroll authority (requireRole super_admin/hr_manager/payroll_admin), mirroring qiwa.sync. Prefer removing the REST route and routing the UI through the guarded tRPC procedure.","An anonymous request to /api/qiwa is proxied straight to the Qiwa government API using the tenant's credentials; if credentials are unset it returns 500 'Qiwa credentials not configured' (fail-open on authz, fail-closed only on missing creds).","With QIWA creds configured: curl -X POST https://<host>/api/qiwa -H 'content-type: application/json' -d '{...employee...}' (no cookie) -> forwarded to the Qiwa government platform.","Delete apps/web/app/api/qiwa/route.ts (its capability is fully covered by qiwa.sync), or add auth()+requireRole gating at the top of each handler and register the path in the middleware matcher.","Block /api/qiwa at the edge and/or leave QIWA credentials unset until fixed.","Backend / Integrations","S","Immediate (hotfix)"
"QA-002","attendance.getSubtree fetches every employee in the tenant on every call instead of the requested org subtree","Performance","QA","Attendance / GPS guide map","Attendance guide map (org subtree with last-known GPS location)","/attendance/guide-map","department_manager, hr_manager, super_admin","High","P2","12","3","4","3","3","confirmed","The comment above the query says ""Recursive CTE to get all employees under rootEmployeeId"" but the actual Drizzle call has no `where` clause and no `limit`, so it loads the entire employees table (with department join) for the tenant on every request, then filters/builds the org tree in application memory (apps/web/trpc/routers/attendance.ts:722-758). A second unbounded findMany over attendanceRecords (with: {}) then follows for every employee in that full result set.","Only employees within the requested rootEmployeeId's subtree (and their latest attendance record) should be fetched from the database, ideally via a recursive CTE or a scoped WHERE clause.","ctx.db.query.employees.findMany({ with: { department: true } }) has no where/limit — it is a full tenant-wide employee scan on every guide-map request.","Read apps/web/trpc/routers/attendance.ts lines 710-780 (getSubtree procedure) — no where clause is ever applied to the employees.findMany call before the in-memory tree/filter logic runs.","Replace the full-table findMany with a recursive CTE (raw SQL via Drizzle's sql`` helper) or an iterative BFS that only expands children of rootEmployeeId, and add a limit as a safety cap.","None; acceptable today only because demo/pilot tenants are small.","backend / performance-engineer","M","Next"
"QA-007","Zero automated tests for the two largest business-logic routers: retention.ts (1611 lines) and recruitment.ts (812 lines)","Test Coverage","QA","Retention / Recruitment","Retention (goals, reviews, skills, succession, engagement, rewards, compensation), Recruitment (jobs, candidates, applications, interviews, offers, onboarding, referrals, background/reference checks)","/retention, /recruitment","hr_manager, department_manager, super_admin","High","P2","12","4","3","3","3","confirmed","The vitest run (152 tests passed across 26 suite files) contains no test file for apps/web/trpc/routers/retention.ts or apps/web/trpc/routers/recruitment.ts. These are the two single largest source files in the repo (1611 and 812 lines respectively) and implement RBAC-scoped CRUD + workflow logic for goals/OKRs, performance reviews, skills/succession, engagement surveys, rewards/compensation, and the full recruitment pipeline (candidates through onboarding). No __tests__ directory reference to `retention` or `recruitment` domain logic exists anywhere in packages/ or apps/web/src/__tests__.","Business-logic routers of this size, especially ones gating access by requireCapability/requireRole (payroll:view_company, performance:view_team, etc.), should have integration tests covering at least the RBAC gate and core CRUD/workflow paths.","No test files reference these routers; coverage is 0% at the unit/integration level for both.","find . -name '*.test.ts' | grep -i 'retention\|recruitment' — no results.","Add integration tests per sub-router (goal, reviewCycle, skill, succession, engagement, reward, compensation for retention; job/candidate/application/interview/offer/onboarding/referral for recruitment) covering: RBAC gate rejection for unauthorized roles, pagination correctness, and at least one full create->read->update happy path per entity.","None.","tdd-guide / backend","L","Next"
"QA-004","pnpm audit: drizzle-orm pinned below the patched version for a high-severity SQL-injection advisory","Maintainability","QA","Dependencies","n/a","n/a","all","High","P1","10","2","5","4","3","confirmed","`pnpm audit --audit-level=high` reports one high-severity advisory: ""Drizzle ORM has SQL injection via improperly escaped SQL identifiers"" (GHSA-gpj5-g38j-94v9), affecting drizzle-orm <0.45.2. packages/db/package.json pins ""drizzle-orm"": ""^0.38.0"" and the resolved version is 0.38.4 (12 dependency paths). `pnpm audit` (no level filter) additionally reports 4 moderate advisories: esbuild <=0.24.2 (dev-server request/response exposure, via drizzle-kit's esbuild-kit chain), next-auth 5.0.0-beta.25 (email misdelivery, patched at beta.30), and postcss <8.5.10 (XSS via unescaped </style> in stringify output, pulled in via Next.js 16.2.10).","Dependencies with known high-severity advisories should be upgraded to patched versions promptly, especially the ORM used for every tenant-scoped query.","drizzle-orm is pinned to ^0.38.0 (resolves to 0.38.4), below the 0.45.2 patched version.","cd hrms-app && pnpm audit --audit-level=high  (also: pnpm audit, for the 4 additional moderate findings)","Upgrade drizzle-orm to >=0.45.2 (check for breaking changes against drizzle-kit and schema code), upgrade next-auth to >=5.0.0-beta.30, and let drizzle-kit pull in a patched esbuild-kit/esbuild chain; postcss will resolve once Next.js patches its bundled dependency.","None; not yet exploited but exposure is real.","dependency-manager / backend","M (upgrade + regression test)","Next"
"UX-003","Form labels not programmatically associated with inputs (missing htmlFor/id) across core HR forms","Accessibility","UX","Employees / Leave / Expenses / Settings / Payroll","Multiple forms","/employees/new, /employees/[id]/edit, /leave/new, /expenses, /settings, /settings/company, /payroll/new, /company-setup, /documents, /attendance/portal, /ai-chat","HR Manager, Employee, Department Manager, Super Admin","Medium","P2","20","5","3","3","4","confirmed","Several of the app's oldest/core forms render plain `<label>` text with no `htmlFor`, paired with `<Input>`/`<select>` elements that have no `id`. This breaks the programmatic label-control relationship: clicking the label text does not focus the field, and screen readers announce the field with no accessible name (or fall back to the placeholder only). By contrast, newer forms (login, signup, recruitment/*, retention/*, offboarding/*, documents/upload) consistently pair `htmlFor` with matching `id`s, showing the pattern is known and used elsewhere in the codebase — it just wasn't applied to these forms.","Every `<label>` should carry `htmlFor` matching the paired input's `id` (or wrap the input), so assistive technology announces a clear field name and label-click focuses the control — as already done correctly in apps/web/app/(auth)/login/login-form.tsx.","Labels and inputs are visually adjacent but have no id/htmlFor link in the forms listed in Evidence.","1. Open /employees/new, step to the form. 2. Inspect any field's label in devtools — no `for` attribute; input has no `id`. 3. With a screen reader (NVDA/VoiceOver), tab into 'Full Name' — it is announced generically rather than as 'Full Name, edit text'.","Add matching `id`/`htmlFor` pairs to all fields in the listed forms (or introduce a small `<FormField>` wrapper component in packages/ui that auto-generates and wires ids, then migrate these pages to it) to prevent regression.","Sighted mouse/touch users are unaffected; only assistive-technology users are impacted.","Frontend","M","Next"
"AUTH-003","No absolute session lifetime and stale role/privileges in JWT (no revocation on role change or deactivation)","Session Management","AUTH","packages/auth/src/index.ts","n/a","n/a","authenticated","Medium(P2)","P2","12","3","3","4","3","confirmed","The JWT session uses a 30-minute rolling idle window (maxAge 30m, updateAge 5m) with NO absolute cap, so an active session can be extended indefinitely. The jwt callback only re-hydrates employeeId on later requests - it never re-reads the user's role or verifies the account still exists/is enabled. Consequently a role downgrade, a role removal, or an account deletion is not reflected until the idle window lapses (up to 30 min), and there is no server-side revocation because the strategy is stateless JWT. The users table has no 'disabled/status' column, so an operator cannot force-logout or lock out an active token at all.","Role/authorization changes and account deactivation should take effect on the next request (re-read role from DB in the jwt callback or check a token version / session revocation list), and sessions should have an absolute maximum lifetime.","Role is copied only at first sign-in; later requests keep the old role. No absolute expiry, no revocation, no account-disabled concept.","Sign in as a user, have an admin change that user's role to a lower one; the active session keeps admin capabilities until the 30-min idle window expires. Deleting the user does not invalidate the live token.","Re-read role (and an is_active/token_version) from the DB in the jwt callback on each request, add an absolute session cap, and add an account-status column so operators can force revocation.","Reduce maxAge; instruct admins that role changes take effect after the idle window.","Auth","M (0.5-1d)","next"
"AUTH-004","Account lockout silently disabled by schema drift - lockout columns absent from Drizzle schema","Broken Authentication / Configuration","AUTH","packages/auth/src/index.ts, packages/db/src/schema/public/users.ts","n/a","n/a","anonymous","Medium(P2)","P2","12","3","4","3","3","confirmed","The durable account-lockout code reads/writes failed_login_attempts and locked_until via raw SQL wrapped in try/catch that swallows all errors and 'disables lockout until migrated' when the columns are missing. Those columns are defined ONLY in migration 0008; they are NOT present in the Drizzle schema (users.ts). Because CLAUDE.md documents `pnpm db:push` (schema-push) as a workflow, a push from the drifted schema can DROP failed_login_attempts/locked_until, silently turning brute-force lockout off with no error surfaced. Prior memory notes already flag attendance schema drift in this repo.","Lockout columns should be part of the source-of-truth Drizzle schema so db:push preserves them, and a missing-column condition should be logged loudly, not swallowed.","Columns live only in a hand-written migration; the schema object omits them; failures are swallowed and lockout becomes a no-op.","Run pnpm db:push from the current schema (which lacks the columns) against a DB that has them -> Drizzle proposes dropping failed_login_attempts/locked_until; after that, recordFailedAttempt/getLockState throw and are swallowed, so accounts never lock.","Add failedLoginAttempts and lockedUntil to the Drizzle users schema so they are managed and preserved; replace the silent catch with a one-time warning log/metric.","Use db:migrate (not db:push) in all environments; verify columns exist post-deploy.","DB/Auth","S (2-4h)","next"
"BIZ-003","No audit trail on any expense mutation (create / approve / markPaid)","Audit / non-repudiation","BIZ","expense","/modules/travel-expenses","expense.create, expense.approve, expense.markPaid","all staff roles","Medium","P2","12","4","2","4","1","confirmed","The audit helper writeAudit is used for payroll runs, reopens and settlements, but the expense router never calls it. Approvals and payouts of company money leave no who/when/old/new record, so the self-approval and over-broad-payout risks (BIZ-001/002) cannot be detected or investigated after the fact.","Every financial state change (approve, reject, pay) should write an audit_logs entry with actor, role, old/new status and amount, per the project's 'Audit log for all sensitive operations' rule.","No writeAudit calls exist anywhere in expense.ts; the module is entirely un-audited.","Approve and mark an expense paid, then inspect audit_logs: no rows are written for the action.","Add writeAudit to approve, reject and markPaid (and ideally create/cancel), recording actor, role, amount and status transition.","None at the application layer; rely on DB-level change data capture if available.","Backend squad","S (0.5 day)","next"
"DB-006","All timestamps use `timestamp` (without time zone) — Riyadh (UTC+3) correctness risk for punch/approval/payroll times","Data Integrity / Timezone Handling","DB","packages/db (all schema files)","N/A","N/A","employee / hr_manager / payroll_admin","Medium","P2","12","4","3","3","4","confirmed","The generated migration 0000 contains zero timestamptz columns; every createdAt/updatedAt and event timestamp (punch_in_at, punch_out_at, approved_at, paid_at, completed_at, sent_at, resolved_at, etc.) is `timestamp` without time zone. Serverless writers run in UTC while the business operates in Asia/Riyadh (UTC+3). Naive timestamps store whatever wall clock the writer used with no offset, so a punch recorded in UTC and displayed as Riyadh local (or vice versa) can be off by 3 hours — material for attendance late/early minutes, overtime, and payroll period boundaries. (Pure `date` columns for hire/termination/leave/period_month are acceptable.) Note inconsistency: hand-written migration 0002 uses timestamptz, so the codebase is mixed.","Instant-in-time columns should be timestamptz (stored as UTC, rendered in Asia/Riyadh), consistently across schema and migrations.","timestamp without time zone everywhere in the Drizzle schema; timestamptz only in one ad-hoc migration.","grep -c timestamptz packages/db/drizzle/0000_thin_freak.sql -> 0. Record a punch from a UTC serverless function, render in Riyadh -> 3h skew.","Migrate instant columns to timestamptz and standardize on UTC storage + Asia/Riyadh presentation. If mass migration is too costly short-term, enforce a single writer timezone (UTC) app-wide and document it; long-term convert to timestamptz.","Ensure every writer sets time in UTC and every reader converts to Asia/Riyadh explicitly.","Backend / DB platform","M-L (schema migration + app audit)","Next"
"DB-007","Field-encryption key falls back to a public hardcoded dev key outside NODE_ENV=production; no key rotation/versioning","Database Security / Encryption at rest (SEC-008)","DB","packages/db crypto.ts","N/A","N/A","system","Medium","P2","12","3","4","4","3","confirmed","deriveKeys() throws only when NODE_ENV === 'production'. In any other environment (preview, staging, CI, or a misconfigured prod where NODE_ENV isn't exactly 'production'), a missing FIELD_ENCRYPTION_KEY silently uses DEV_FALLBACK_KEY = 'hrms-dev-only-insecure-field-encryption-key', which is in source control. PII (iqama/passport/IBAN) written in such environments is effectively plaintext. Separately, the construction has no key-versioning/rotation: the marker is a static 'encv1:' and the key label is fixed 'v1'; rotating FIELD_ENCRYPTION_KEY changes every deterministic ciphertext and makes all previously stored values fail GCM auth on read (decryptField throws), with no dual-key/rewrap path.","Missing key should fail closed in every deployed environment (not just production). A key id should be embedded so keys can be rotated with a rewrap/dual-read window.","Silent dev-key fallback for all non-production NODE_ENV; no rotation mechanism.","Deploy a preview build with NODE_ENV!=='production' and no FIELD_ENCRYPTION_KEY; write an employee iqama; read the raw column -> ciphertext decryptable with the repo's DEV_FALLBACK_KEY. Rotate the key -> existing rows throw on read.","Fail closed whenever the app is deployed (e.g. require the key unless an explicit local/test flag is set), never fall back to a committed key in any hosted environment. Add a key id to the marker (encv1:<keyid>:) and implement dual-read (old+new key) + background rewrap for rotation. Validate presence at startup via packages/config env.","Set FIELD_ENCRYPTION_KEY in every deployed environment including preview/staging.","Security / Backend","M (fail-closed is S; rotation support is M)","Next"
"DB-008","Single flat Drizzle migration mixes public and all tenant tables into one unqualified schema; no per-tenant migration runner","Data Integrity / Migration Architecture","DB","packages/db drizzle + drizzle.config.ts","N/A","N/A","system","Medium","P2","12","3","4","3","2","confirmed","drizzle.config.ts scans schema/**/*.ts (both public and tenant). The generated 0000_thin_freak.sql contains 78 CREATE TABLE statements — public tables (accounts, sessions, users, tenants, verification_tokens, invite_token_index) AND all tenant tables (employees, payslips, etc.) — with no schema qualifier and 106 ADD CONSTRAINT FKs, all in a single schema. drizzle-kit migrate/push targets the connection's default schema (public), so running it would create every tenant table in public. There is no per-tenant migration runner; ongoing schema evolution for tenants is done via ad-hoc DO-block or hardcoded migrations (DB-002), which is the root cause of the drift findings above.","A clear separation: public-schema migrations for shared tables, and a dedicated per-tenant migration/DDL pipeline replaying an authoritative bundle into each tenant_<hex> schema. drizzle-kit generate should not blend the two.","One flat migration blends public + tenant tables; no mechanism keeps existing tenant schemas in sync with the Drizzle schema.","grep 'CREATE TABLE' 0000_thin_freak.sql -> 78 tables incl. both public and tenant. Run drizzle-kit migrate against the dev DB -> tenant tables land in public.","Split schema generation: keep drizzle migrations for public-schema tables only, and build a first-class per-tenant migration runner (ordered SQL bundle applied with search_path per tenant, tracked in a per-tenant migrations table). Regenerate provisioning DDL from the tenant schema. Remove tenant tables from the public-targeted migration path.","Never run db:migrate/db:push against the shared DB without a schema target; manage tenant DDL via scripts.","Backend / DB platform","L (design + build per-tenant migration runner)","Next"
"DB-011","users.mfa_secret (TOTP seed) is stored plaintext, not wrapped in encryptedText","Database Security / Secret at rest","DB","packages/db public/users","N/A","N/A","system / all users","Medium","P2","12","3","4","3","3","confirmed","The users table stores mfaSecret as plain text. Unlike employee iqama/passport/IBAN, the MFA shared secret is not wrapped in the encryptedText codec, so the TOTP seed sits at rest in cleartext. Anyone able to read the row can reconstruct the user's one-time codes.","MFA/TOTP secrets should be encrypted at rest (or stored in a dedicated secret store), consistent with the SEC-008 encryption applied to other PII.","mfa_secret is plaintext text.","Read users.mfa_secret -> base32 TOTP seed in cleartext; feed to any TOTP generator to produce valid codes.","Wrap mfa_secret with the encryptedText codec (or a KMS-backed secret store). Since MFA secrets need no equality/uniqueness, prefer a randomized-IV variant rather than the deterministic codec to avoid equality leakage. Backfill existing rows.","Restrict DB read access; rotate MFA enrollments if exposure suspected.","Security / Auth","S-M","Next"
"PRIV-011","Audit log omits authentication, role-assignment, export, and PII-view events","audit-logging","PRIV","apps/web (audit coverage)","cross-cutting","N/A","all","Medium","High","12","4","3","3","2","confirmed","writeAudit is invoked only for employee create/update/delete, payroll runs, settlement, and PDPL self-export. Security- and privacy-relevant events are NOT persisted to audit_logs: successful/failed logins and lockouts (only ephemeral console.warn), role assignment/changes via invites, MFA enable/disable, document/letter generation (PRIV-010), and PII/salary views. PDPL accountability and standard security monitoring expect durable auth and access-to-PII trails.","Login/logout, lockout, role changes, MFA changes, config changes, and PII/export access are written to a durable audit trail with actor/action/target/timestamp.","Auth events are only console-logged; role/MFA/export/view events are not audited.","Log in, assign a role via invite, generate a letter; query audit_logs — none of these appear.","Emit audit_logs entries for auth (login/logout/lockout/MFA), role/permission changes, config changes, and PII exports/views. Keep the existing tenant-scoped, read-only audit read surface.","Ship auth events to a durable log store as an interim measure.","Backend/Auth","M","next"
"RBAC-003","employee.getById / employee.list expose salary + payslips to roles lacking payroll:view_company; getById is not department-scoped","Horizontal over-exposure / Broken function-level authorization","RBAC","tRPC router employee","/employees, /employees/[id]","employee.list, employee.getById","recruiter, department_manager (and hr_specialist for payslips-via-getById)","Medium","P2","12","4","3","3","3","confirmed","employee.list and employee.getById are companyProcedure (any staff role). The employees row carries plaintext salaryBasic/salaryHousing/salaryTransport columns and no column projection is applied, so recruiter and department_manager — who hold people:view_company but NOT payroll:view_company — read every employee's base salary. Worse, employee.getById additionally loads the payslips relation (full pay history) and, unlike employee.list, applies NO department scoping. A department_manager can therefore pass any employeeId to getById and read that employee's complete record plus payslip financials, defeating the SEC-013 department-scope intent for reads. The prior audit's permission matrix marked employee.list/getById as 'Secure', missing this.","Salary columns and the payslips relation should be gated to PAYROLL_VIEW_ROLES / payroll:view_company (projected out for other roles), and employee.getById should apply the same getManagedDepartmentIds scoping as employee.list for department_manager.","recruiter and department_manager receive salaryBasic/Housing/Transport for all employees via list; department_manager receives any employee's full record + payslips via getById with no scope check.","Login as recruiter -> call employee.list -> response rows include salaryBasic/salaryHousing/salaryTransport. Login as department_manager -> call employee.getById with an employeeId outside your department -> returns that employee's full record + payslips.","Add a column projection to employee.list/getById that omits salary fields for roles without payroll:view_company, gate the payslips relation on PAYROLL_VIEW_ROLES, and apply getManagedDepartmentIds scoping inside getById for department_manager.","None client-side; server change required.","Backend","M","Next sprint"
"UX-004","Required-field markers are visual-only and validation errors are not announced to assistive technology","Accessibility","UX","Employees / Leave","New Employee, New Leave Request","/employees/new, /leave/new","HR Manager, Employee","Medium","P3","12","4","2","3","3","confirmed","Required fields are marked with a plain ""*"" in the label text, but the underlying `<Input>`/`<select>` has no `required` or `aria-required` attribute. When client-side validation fails, the error is rendered into a plain `<div>`/`<p>` with no `role=""alert""` or `aria-live` region, unlike the login form's error banner which correctly uses `role=""alert""`.","Required inputs should carry `required`/`aria-required=""true""`; the error summary should be in a `role=""alert""` (or `aria-live=""assertive""`) container so screen-reader users are told immediately when submission fails, matching apps/web/app/(auth)/login/login-form.tsx:78-85.","Submitting either form with missing/invalid data updates a plain div with the error text; a screen-reader user who has already moved focus away from the form is not notified anything happened.","1. Open /leave/new, submit with no dates selected. 2. Error text appears visually but a screen reader user focused elsewhere gets no announcement.","Add `role=""alert""` to error containers and `required`/`aria-required` to fields already validated as mandatory in handleSubmit.","Sighted users see the red banner directly below the button they just clicked.","Frontend","S","Next"
"QA-006","pnpm lint fails with 372 errors (almost entirely no-explicit-any / no-non-null-assertion) confined to the web app","Maintainability","QA","apps/web (lint)","n/a","n/a","n/a","Medium","P2","10","5","2","2","1","confirmed","`pnpm lint` fails (turbo reports @hrms-app/web#lint exited 1). All 16 other packages (auth, config, date, db, demo, documents, email, leave, llm, payroll, qiwa, queue, ui, validators, etc.) lint clean. Only apps/web fails, with 387 problems (372 errors, 15 warnings) across ~84 files. The dominant rule is @typescript-eslint/no-explicit-any (the large majority of the 372 errors — 295 raw `: any`/`as any` occurrences were found across apps/web by static grep), followed by @typescript-eslint/no-non-null-assertion (~30+ occurrences, e.g. attendance/me/page.tsx, payroll pages, leave.ts, invite.ts) and a smaller number of no-unused-vars.","`pnpm lint` should exit 0 across all packages, per the project's own ESLint config which forbids `any` and non-null assertions.","@hrms-app/web#lint exits with code 1; 372 errors reported.","cd hrms-app && pnpm lint","Triage by rule: replace `any` in router callback signatures (e.g. attendance.ts:60-61, department.ts:11, leave.ts:82) with the inferred Drizzle relation types; replace non-null assertions with explicit null checks or narrow the type upstream. Given the volume, tackle incrementally per-router rather than one large PR.","None; lint is currently red.","frontend / build-error-resolver","L (incremental, per-router)","Backlog"
"API-005","File upload storage path traversal via unsanitized category field","Improper Input Validation / Path Traversal","API","REST API - upload","/api/upload","/api/upload","authenticated","Medium","P2","9","3","3","3","3","confirmed","In apps/web/app/api/upload/route.ts the object-storage key is built as `${tenantId}/${category}/${timestamp}_${safeFileName}`. The file name is sanitized (safeFileName), but the client-supplied `category` string is used raw. A value such as `../<otherTenantId>` would resolve the stored object outside the caller's tenant prefix within the Supabase bucket, breaking tenant isolation of stored files.","The storage path segment derived from category must be validated against an allowlist (or sanitized the same way the filename is) so it cannot contain path separators or traversal sequences.","category is concatenated into the storage path without sanitization; `../` or slash characters allow escaping the tenant folder.","POST multipart to /api/upload with field category set to `../<victimTenantId>/docs` and observe the object written under the victim tenant's prefix.","Validate category against a fixed enum (e.g. policies, contracts, ids) or apply the same [^a-zA-Z0-9._-] sanitization used for the filename; reject null/empty category.","Enforce an allowlist of category values server-side.","Backend/API team","S","next"
"AUTH-006","MFA is opt-in only and not enforced by any policy (privileged roles can operate without MFA)","Authentication / MFA","AUTH","packages/auth/src/index.ts, apps/web/trpc/routers/mfa.ts","n/a","n/a","all","Medium(P2)","P2","9","3","3","3","3","confirmed","TOTP MFA is only enforced when the individual user has already enrolled a secret (if (user.mfaSecret)). There is no organization policy requiring MFA for high-privilege roles (super_admin, hr_manager, payroll_admin), and nothing in signup/onboarding drives enrollment. A compromised password alone is sufficient for full admin access on any account that has not voluntarily enrolled.","Privileged roles should be required to enrol MFA (block or step-up until enrolled), configurable per tenant.","MFA gate is skipped entirely for any account without mfaSecret; no role-based enforcement exists.","Create/sign in as an hr_manager without enrolling MFA; login succeeds with password only.","Add a tenant policy that requires MFA for privileged roles; block access (or force enrollment) until a secret is set.","Operationally require admins to enrol MFA.","Auth/Product","M (1-2d)","next"
"AUTH-007","In-memory middleware rate limiting is per-instance and ineffective on serverless/multi-instance","Rate Limiting / Brute Force","AUTH","apps/web/middleware.ts","n/a","/api/auth/*","anonymous","Medium(P2)","P2","9","3","3","3","2","confirmed","Rate limiting is backed by a module-level in-memory Map. On Vercel/serverless (and any horizontally-scaled deploy) each instance has its own map and the map resets on cold start, so the 5/min login limit and other limits are enforced only per-instance - an attacker rotating across instances or after cold starts largely evades them. The durable per-account lockout mitigates this for the NextAuth path, but the standalone /api/auth/login route (AUTH-002) has neither. Redis (Upstash) is already configured in env but not used for rate limiting.","Rate limiting for auth endpoints should use a shared store (Redis/Upstash) so limits are global across instances.","Limits use a per-process Map that resets on cold start.","Send login attempts spread across cold starts / instances; aggregate throughput exceeds the intended 5/min.","Move auth rate limiting to Upstash Redis (already in env) keyed by IP and by account; keep the durable DB lockout as defense-in-depth.","Add a WAF/edge rate limit in front of /api/auth/*.","Platform","M (0.5-1d)","next"
"BIZ-004","Leave balance can be over-drawn: balance is checked at submission but not re-validated at approval","Business rule / balance integrity","BIZ","leave","/leave","leave.request.create + leave.request.updateStatus","employee (submitter) + approver","Medium","P2","9","3","2","3","2","suspected","The available-balance check runs only in create, against the balance at submission time. Two (or more) non-overlapping requests can each pass because the balance is not decremented until approval. At approval, adjustLeaveBalance decrements with Math.max(0, ...), which silently floors a negative balance to 0 instead of rejecting, so the employee is granted more paid leave than their entitlement.","Approval should re-validate the current balance and refuse (or partially grant) when the request exceeds the remaining balance; balance must never be allowed to go negative silently.","No balance re-check at approval; decrement clamps to 0, hiding the over-draw.","With balance = 10 days, create request A (7 days) and request B (7 days, non-overlapping) — both pass the create check. Approve both. Final balance shows 0 instead of -4; employee took 14 of 10 days.","Move/duplicate the balance check into updateStatus at the approval boundary (reject if days > current balance) and remove the silent Math.max floor (or log when a floor would occur).","HR manually reconciles balances before approving stacked requests.","Backend / Leave squad","S (0.5-1 day)","next"
"BIZ-005","Leave approvals have no segregation of duties: an approver can approve their own leave","Segregation of duties / self-approval","BIZ","leave","/leave","leave.request.updateStatus","hr_manager, super_admin, department_manager","Medium","P2","9","3","1","3","2","confirmed","updateStatus authorises super_admin, hr_manager and department_manager to approve leave. There is no check that the approver is not the leave's own employee. A department_manager who heads their own department (dept scope check passes because their own department is in the managed set) can approve their own leave request; hr_manager/super_admin can approve their own outright.","The approver of a leave request must not be the requesting employee; self-approval should be blocked and routed to a higher authority.","Only role and (for department_manager) department scope are checked; actor != subject is not.","As a department_manager whose own employee record sits in a department they head, create a leave request (bound to self) then call updateStatus { id, data:{ status:'approved' } }. It succeeds.","In updateStatus, load the request's employeeId and reject when it equals the caller's employeeId (for the approval transition); require escalation to a higher approver.","Policy control + monitor approvedByUserId vs employee.","Backend / Leave squad","S (0.5 day)","next"
"PRIV-008","No data-subject rectification / erasure / consent-withdrawal endpoints (PDPL rights incomplete)","privacy-pdpl","PRIV","apps/web (tRPC routers)","profile / account","N/A","employee","Medium","Medium","9","3","2","4","3","confirmed","A PDPL data-subject access (export) right is implemented (employee.exportMyData, audited). However there is no self-service or documented workflow for the right to correction, the right to destruction/erasure, or withdrawal of consent. Employee deletion is soft-delete only (status=terminated) which by design retains all PII indefinitely, and no anonymisation/retention-expiry job exists. Saudi PDPL grants data subjects rights to access, correction, and destruction; only access is covered in code.","Provide (or document a controlled process for) correction, erasure/anonymisation, consent withdrawal, and a defined retention/disposal schedule.","Only exportMyData exists; soft-delete retains PII with no erasure/anonymisation path.","Search routers for erasure/rectification/consent-withdrawal procedures; none exist.","Add correction and erasure/anonymisation workflows (audited), a consent-withdrawal path, and a documented retention & disposal policy. Legal review required to define lawful retention periods (payroll/tax records vs erasable PII).","Document a manual, audited DSR handling process in the interim.","Product/Legal/Backend","L","backlog"
"PRIV-010","Salary certificate / experience letter generation exposes decrypted iqama + full salary and is not audited","audit-logging","PRIV","apps/web (tRPC document router)","employee documents / letters","trpc document.generateLetter","super_admin/hr_manager/hr_specialist","Medium","Medium","9","3","3","3","3","confirmed","document.generateLetter builds a salary certificate / experience letter containing the employee's decrypted national ID (iqama) and full basic/housing/transport salary. This is a sensitive PII/financial export, but no writeAudit call is made, so there is no record of who generated a document containing another person's iqama and salary or when. writeAudit is used for employee/payroll/settlement mutations but not for this read/export.","Every generation/export of a document containing another person's PII/salary is audited (actor, subject, type, timestamp).","generateLetter returns HTML with iqama + salary and writes no audit entry.","Call document.generateLetter; check audit_logs — no entry recorded for the export.","Add writeAudit('document.generate', entityType 'employee', subject id, {type}) to generateLetter; consider the same for any PII-bearing read/export.","N/A","Backend","S","next"
